system,target,n,cefr_exact_accuracy,cefr_adjacent_accuracy,cefr_rmse,cefr_weighted_f1,meaningbert_source,meaningbert_reference,source_exact_rate,mean_revisions
open_model_zero_shot,ALL,200,0.165,0.61,1.5264337522473748,0.2403215223097113,82.74522666931152,76.2836873626709,0.0,0.0
open_model_zero_shot,A2,100,0.12,0.35,1.865475810617763,0.21428571428571427,83.08228435516358,72.40555606842041,0.0,0.0
open_model_zero_shot,B1,100,0.21,0.87,1.0862780491200215,0.34710743801652894,82.40816898345948,80.16181865692138,0.0,0.0
